restart,step,smiles,pIC50,QED,SA,MW,LogP,LogP_Penalty,Reward
4,0,C[C@@H]1CN(N2CCC[C@@H]2c2ccccc2)CC[NH2+]1,7.509100000000003,0.8414286750547281,4.233507555168342,246.378,1.006,0.0,7.844689984866809
4,1,Cn1nccc1C1CCN(C(=O)N2CCC3(CC2)NC(=O)NC3=O)CC1,7.5529000000000055,0.7079700767212544,3.3402103150607747,360.41800000000006,0.3935000000000014,0.0,8.572864006854555
4,2,C[C@H]1C(=O)N2CCC[C@H]2C(=O)N1CN1CCC(c2ccnn2C)CC1,7.546000000000006,0.8121763942507616,3.6066347286270526,345.44700000000006,0.7787,0.0,8.59142472426268
4,3,Cn1nccc1C1CCN(CN2C(=O)[C@H]3CCCC[C@@H]3C2=O)CC1,7.589200000000011,0.7921854571867059,3.3164187553409894,330.43200000000013,1.7321999999999997,0.0,8.653650853059265
4,4,Cn1nccc1C[C@H](O)CC1CCN(S(=O)(=O)CCC2(O)CCCCC2)CC1,7.592800000000002,0.6779747475443715,3.428339047909187,413.5840000000004,1.8406999999999993,0.0,8.58895346898127
4,5,Cn1nccc1C[C@H](O)Cc1ccc(S(=O)(=O)CC[C@@H]2CCC[C@H](O)C2)cc1,7.577700000000004,0.701638256404261,3.5608269289551284,406.54800000000023,2.2811000000000003,0.0,8.57243643530662
4,6,Cn1nccc1-c1ccc(CS(=O)(=O)CC[C@@H]2CCC[C@H](O)C2)cc1,7.559500000000005,0.8574635642849702,3.246387057987832,362.4950000000001,2.943100000000001,0.0,8.663593076343707
4,7,Cn1nccc1-c1ccc(CS(=O)(=O)CC[C@@H]2CCC[C@H](O)C2)cc1,7.559500000000003,0.8574635642849702,3.246387057987832,362.4950000000001,2.943100000000001,0.0,8.663593076343705
4,8,Cn1nccc1-c1ccc(CCCS(=O)(=O)C=O)cc1,7.570600000000008,0.7587359590878928,2.64229271846836,292.35999999999996,1.6247,0.0,8.544045291104776
4,9,Cn1nccc1-c1ccc(-c2ccc(CC=O)cc2-c2cccnn2)cc1,7.568800000000006,0.5092020629392178,2.580758873230426,354.413,3.9525000000000023,0.0,8.565325144146573
4,10,Cn1nccc1-c1ccc(-c2ccc(C=O)cc2)cc1-c1ccnn1C,7.589100000000006,0.527438303048588,2.5316737971559693,342.4020000000001,3.967100000000003,0.0,8.599651771808702
4,11,Cn1nccc1-c1cc(-c2ccc(C=O)cc2)cc(-c2cc(C=O)ccn2)c1O,7.574900000000002,0.523508027560929,2.767468628657463,383.4070000000001,4.146700000000004,0.0,8.559907150914722
4,12,Cn1nccc1-c1cc(-c2cc(C=O)ccn2)cc(CCS(=O)(=O)C=O)c1O,7.619800000000002,0.6018206175890697,3.25444186418929,399.42800000000017,1.8146999999999993,0.0,8.595266122375609
4,13,Cn1nccc1-c1cc(-c2cc(C=O)ccn2)cc(C=O)c1O,7.5136,0.7484220772178479,2.854514447530047,307.309,2.4797000000000007,0.0,8.570660587491663
4,14,Cn1nccc1-c1cc(-c2cc(C=O)ccn2)cc([C@@H]2CCC[C@H](O)C2)c1O,7.555200000000002,0.677227560774458,3.631515243505273,377.4440000000002,3.685700000000002,0.0,8.530662256036702
4,15,Cn1nccc1-c1cc(-c2cc(C=O)ccn2)cc(C=O)c1O,7.5136,0.7484220772178479,2.854514447530047,307.309,2.4797000000000007,0.0,8.570660587491663
4,17,O=Cc1cc(-c2cc(CCS(=O)(=O)CCS(=O)(=O)C=O)ccn2)ccn1,7.625800000000003,0.5611221346885237,3.1618794894636597,396.446,0.5183999999999997,0.0,8.5901731183979
4,18,NC(=O)Cc1cc(-c2cc([C@@H]3CCC[C@H](O)C3)ccn2)cc([C@@H]2CCC[C@H](O)C2)c1O,7.578500000000003,0.5859203171060623,3.9294186396760464,424.54100000000017,3.5190000000000023,0.0,8.47851829458543
4,19,NC(=O)Cc1ccnc(-c2ccnc(C=O)c2)c1,7.501100000000003,0.8083772423688512,2.4456299056299233,241.25,0.9839,0.0,7.950019430120997
4,20,Cn1nccc1-c1cc(-c2cc(CC(N)=O)cc(CC(N)=O)c2O)cc(CC(N)=O)c1O,7.606700000000002,0.3356395134475441,3.041869965207608,437.4560000000002,0.24869999999999953,0.0,8.470332760203014
4,21,Cn1nccc1-c1cc(-c2cc(-c3cc(CC(N)=O)ccn3)cc(CC(N)=O)c2O)cc(CC(N)=O)c1O,7.627100000000004,0.22143409996165594,3.1585843185351754,514.5420000000004,1.3106999999999995,0.0,8.421958618127313
4,22,Cn1nccc1-c1cc(-c2cc(CC(N)=O)ccn2)ccn1,7.538200000000002,0.7907236879855221,2.496892587955987,293.33,1.5718999999999996,0.0,8.55127021510005
4,23,Cn1nccc1-c1cc(-c2cc(-c3cc(CC(N)=O)ccn3)ccn2)ccn1,7.594800000000003,0.5820579860264199,2.6218485703036887,370.416,2.6339000000000006,0.0,8.623644135982843
4,25,NC(=O)Cc1ccnc(-c2ccnc(CC(N)=O)c2)c1,7.491800000000001,0.8075908993049702,2.3568517844024264,270.292,0.19920000000000015,0.0,8.269983029650087
4,26,NC(=O)Cc1ccnc(-c2ccnc(-c3ccnc(CC(N)=O)c3)c2)c1,7.565000000000002,0.6942728202935949,2.49365235848653,347.3780000000001,1.2611999999999994,0.0,8.662771174298147
4,27,NC(=O)Cc1ccnc(-c2ccnc(-c3ccnc(CC(N)=O)c3)c2)c1,7.565000000000002,0.6942728202935949,2.49365235848653,347.3780000000001,1.2611999999999994,0.0,8.662771174298147
