smiles,EHOMO_ev,ELUMO_ev,gap_ev,esp_min,status
COc1ccc(C[C@H](OC)c2c(OC)cccc2OC)cc1OC,-9.9043,-6.1227,3.7816,-0.343,xtb_success
COc1ccc(CCCNC(=O)c2c[nH]c3cccc(F)c23)cc1,-10.1369,-6.8872,3.2498,-0.557,xtb_success
COc1ccc(C(=O)c2cncnc2)cc1-c1ccc(C)cc1,-10.3688,-8.3215,2.0473,-0.45,xtb_success
COc1ccnc(Cc2ccnc(Cc3ccnc(OC)c3)c2)c1,-10.1334,-6.8394,3.2941,-0.3,xtb_success
COCCc1cccc(Cc2cccc(OC)c2OC)c1COC,-10.5088,-6.2604,4.2484,-0.352,xtb_success
CC(C)(C)CCc1ccc(CCc2cc(C[NH3+])cc(C[NH3+])c2)cc1,-8.8433,-8.8384,0.0049,-0.514,xtb_success
COCc1cc(Cc2ccc(Cc3ccccn3)c(OC)c2)ccn1,-9.965,-6.7774,3.1876,-0.345,xtb_success
CO[C@@H](Cc1cccc(C)c1)c1cc2cc(C)c(C)cc2[nH]c1=O,-10.3163,-7.4432,2.8731,-0.563,xtb_success
Cc1ccc(-c2ccc(-c3cc(CC[C@](C)(O)C(=O)[O-])ccn3)cc2)cc1,-9.7562,-7.139,2.6172,-0.416,xtb_success
CC(C)(C)CC(=O)CS(=O)(=O)c1ccc(CC(=O)c2ccccn2)cc1,-10.3786,-8.1703,2.2082,-0.637,xtb_success
NC(=O)Cc1cc(-c2cc(-c3cc(C=O)ccn3)ccn2)ccn1,-10.2525,-8.7311,1.5214,-0.539,xtb_success
CCCN(CCc1cc(CC(F)(F)F)ccn1)CC(C)(C)C,-9.3007,-6.9567,2.344,-0.253,xtb_success
COCc1ccc(Cc2cc(CC(N)=O)cc(OC)c2)cc1-c1ccc(C)cc1,-10.2732,-6.4029,3.8703,-0.534,xtb_success
CCCc1ccc(CC2CCN(c3cccnn3)CC2)cc1,-9.3933,-7.1202,2.2731,-0.223,xtb_success
COCc1ccc(Cc2nc(-c3ccccn3)cs2)c(OC)c1,-10.1013,-7.327,2.7744,-0.349,xtb_success
C#CCc1ccc(-c2ccc(-c3nc(CC(N)=O)cs3)cc2)cc1CC(N)=O,-10.2863,-7.7158,2.5706,-0.537,xtb_success
COCc1ccc(Cc2cc(OC)cc(-c3cc(OC)ccn3)c2)cc1,-10.1086,-7.0202,3.0884,-0.351,xtb_success
NC(=O)CCc1ccc(CCc2nc(CCC(N)=O)cs2)cc1,-10.4007,-6.9115,3.4892,-0.534,xtb_success
COCc1ccc(Cc2cc(Cc3ccc(OC)cc3)ccn2)cc1,-9.9649,-6.6276,3.3373,-0.351,xtb_success
NC(=O)CCCc1ccnc(CCc2ccnc(CC(N)=O)c2)c1,-10.03,-6.8123,3.2177,-0.54,xtb_success
NC(=O)CCc1ccc(CCN(CC(N)=O)CC2CCCCC2)cc1,-9.5879,-5.9614,3.6264,-0.541,xtb_success
CN1CC[C@@H](OCCc2ccnc(Cc3ccc(C(C)(C)C)cc3)c2)C1=O,-9.9636,-6.6017,3.362,-0.539,xtb_success
NC(=O)Cc1cc(-c2cc(C=O)ccn2)ccc1Cc1cc(C=O)ccn1,-10.3342,-8.6347,1.6995,-0.551,xtb_success
C#CCc1ccc(-c2ccnc(CC(N)=O)c2CC(N)=O)cc1,-10.1582,-6.8177,3.3405,-0.534,xtb_success
CCc1ccc(Cc2cc(CC(N)=S)ccn2)cc1-c1ccccn1,-9.5041,-7.1261,2.3781,-0.526,xtb_success
NC(=O)Cc1ccc(CCc2ccc(CC3CCCCC3)cc2)cc1,-10.3028,-6.133,4.1698,-0.536,xtb_success
