smiles,PySCF_Gap_eV,PySCF_Dipole_Debye,R_global,PySCF_Energy_Eh,PySCF_HOMO_eV,PySCF_LUMO_eV,Calc_Method,pIC50,QED,SA,hERG_Prob,hERG_Risk,R0,R_total,R_ADMET,Gap_Median,Gap_MAD,Gap_RZ,Gap_HardFail,Gap_Penalty,R_gap,Dip_Median,Dip_MAD,Dip_P90,Dip_SoftThr,Dip_HardThr,Dipole_HardFail,Dip_Penalty,R_dip,Physical_HardFail,R_conf,R_phys,R_global2
COc1cc(OC)c(OC)c(-c2cc(C)c(OC)cc2OC)c1,5.476,2.281,10.778,-1075.1919216818687,-5.267,0.209,B3LYP/6-31G*,7.561200000000009,0.8123785740185984,2.0148738389079,0.3749150897622513,False,8.765370012422554,9.077528019503452,0.85,5.212,0.45100000000000007,0.39482926741723023,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.0,1.0,False,1.0,1.0,10.778
CCCc1ccc(-c2nc(C(C)(C)C)cs2)cc1CC(N)=O,4.616,3.277,10.761,-1283.3012646161874,-5.738,-1.122,B3LYP/6-31G*,7.566200000000008,0.9030158842217344,2.449574126417525,0.32,False,8.770261452371502,9.016865087216797,0.872,5.212,0.45100000000000007,-0.8913569825025343,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.0,1.0,False,1.0,1.0,10.761
CC(C)S(=O)(=O)Cc1ccc(Cc2ccc(CS(=O)(=O)C(C)C)cc2)cc1,5.789,3.124,10.76,-1914.2499718384943,-6.663,-0.874,B3LYP/6-31G*,7.568800000000002,0.6637363754606935,2.1541888394898336,0.3091976758704815,False,8.685249303781365,9.007500599987264,0.876,5.212,0.45100000000000007,0.8629412397717487,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.0,1.0,False,1.0,1.0,10.76
Cc1ccc(CN(CC(N)=O)C(=O)Cc2ccc(CC(N)=O)cc2)cc1,6.005,4.275,10.752,-1165.931293547686,-6.299,-0.293,B3LYP/6-31G*,7.531700000000005,0.7413244241151555,2.0497179510021226,0.38,False,8.697390416957372,9.055525795554034,0.848,5.212,0.45100000000000007,1.1859833676585736,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.0,1.0,False,1.0,1.0,10.752
Cc1ccc(CCc2ccc(S(=O)(=O)C(C)C)cc2)cc1F,5.436,4.908,10.742,-1346.977275341195,-6.424,-0.988,B3LYP/6-31G*,7.568900000000009,0.8309102942074881,1.9224995110329104,0.4364968461911693,False,8.792105196000463,9.091365913541695,0.825,5.212,0.45100000000000007,0.3350066511418924,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.0,1.0,False,1.0,1.0,10.742
CCc1ccc(Cc2ccc(CC)c(CC)c2)c(CC(N)=O)c1,5.845,3.567,10.737,-946.493934406619,-5.967,-0.122,B3LYP/6-31G*,7.530900000000008,0.8253258566525065,2.253576792204603,0.3966666666666666,False,8.696203065378318,9.0539452095234,0.841,5.212,0.45100000000000007,0.9466929025572218,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.0,1.0,False,1.0,1.0,10.737
NC(=O)Cc1ccc(-c2ccc(-c3cc(CC(N)=O)ccn3)cc2)cc1,4.745,6.942,10.731,-1126.4017728336185,-6.003,-1.257,B3LYP/6-31G*,7.591400000000004,0.7176399343041158,2.045399967634138,0.3266666666666666,False,8.745679970388647,8.992493940086765,0.869,5.212,0.45100000000000007,-0.698429045014569,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,True,1.0,0.0,True,1.0,0.0,0.0
NC(=O)CCc1ccc(CCc2nc(CC(N)=O)cs2)cc1,5.355,5.394,10.716,-1334.055219465169,-6.227,-0.871,B3LYP/6-31G*,7.555600000000003,0.7689132732947446,2.204593828650776,0.3666666666666666,False,8.718260668608977,9.009748777192785,0.853,5.212,0.45100000000000007,0.21386585318433388,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.0,1.0,False,1.0,1.0,10.716
C#CCc1ccc(-c2ccnc(CC(N)=O)c2CC(N)=O)cc1,5.333,5.427,10.716,-1010.797786197556,-6.361,-1.028,B3LYP/6-31G*,7.585200000000007,0.778073679625732,2.732456840281525,0.3066666666666666,False,8.66950807982612,8.961160043040195,0.877,5.212,0.45100000000000007,0.18096341423289772,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.007104413341568046,0.9928955866584319,False,1.0,0.9928955866584319,10.639869106631755
Cc1ccc(-c2cc(CCS(C)(=O)=O)cc(CCS(C)(=O)=O)c2O)cc1,5.421,9.447,10.708,-1910.840604718731,-6.179,-0.758,B3LYP/6-31G*,7.555100000000006,0.776900258919649,2.45834113781531,0.3549150897622513,False,8.6977160156783,8.991782354548121,0.858,5.212,0.45100000000000007,0.31257317003864116,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,True,1.0,0.0,True,1.0,0.0,0.0
Cc1sc(NC(=O)Cc2ccc(C(=O)OC(C)C)cc2)c(CC(N)=O)c1C,3.851,4.512,10.673,-1585.18857619838,-5.387,-1.537,B3LYP/6-31G*,7.561900000000006,0.7119872625273136,2.3696728533027205,0.2866666666666667,False,8.68092634593339,8.902343018392694,0.885,5.212,0.45100000000000007,-2.0354645187683706,False,0.2677322593841853,0.7322677406158147,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.0,1.0,False,1.0,0.7322677406158147,7.81549359559259
CO[C@H](C)CNC(=O)c1ccc(-c2cc(S(C)(=O)=O)[nH]n2)cc1,4.994,5.169,10.668,-1446.2678289264823,-6.35,-1.356,B3LYP/6-31G*,7.5751000000000035,0.8258282669622403,2.9754802065305537,0.3643702290076335,False,8.69046611282807,8.9593244835969,0.854,5.212,0.45100000000000007,-0.3260332587005913,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.0,1.0,False,1.0,1.0,10.668
COCc1ccc(Cc2cc(CC(N)=O)cc(OC)c2)cc1-c1ccc(C)cc1,5.602,5.973,10.668,-1249.3249875489141,-6.084,-0.483,B3LYP/6-31G*,7.586300000000008,0.619668912281152,2.236914264860811,0.42,False,8.672443029654502,9.004355993463246,0.832,5.212,0.45100000000000007,0.583270508684545,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.47728740540169023,0.5227125945983098,False,1.0,0.5227125945983098,5.576297959174768
