restart,step,smiles,pIC50,QED,SA,MW,LogP,LogP_Penalty,Reward,EHOMO_ev,ELUMO_ev,gap_ev,esp_min,status,gap_score,esp_score,R_DFT,R0,R_total,rank_R0,rank_total,delta_rank,dft_effect
87,2,Cc1cccc(Cc2ccc(C(=O)N3CCC(NC(=O)C(C)C)CC3)o2)c1,7.609500000000008,0.8777297693735809,2.2346111845100864,368.47700000000015,3.555620000000003,0.0,8.824903766235789,-10.4968,-7.0129,3.484,-0.551,xtb_success,0.7503001143685784,0.7483333333333333,0.7497100800580048,8.824903766235789,9.124787798258991,2,1,-1,neutral
42,3,COCc1ccc(CN2CCN(C(=O)c3cccc(OC)c3)CC2)cc1,7.602900000000009,0.7999791910367352,1.7776731817713518,354.45000000000016,2.7996000000000016,0.0,8.82512227734124,-9.7743,-6.4834,3.2908,-0.543,xtb_success,0.694078244912404,0.7616666666666666,0.7143547714386828,8.82512227734124,9.110864185916713,1,2,1,neutral
52,17,NC(=O)CCc1ccc(Cc2ccc(CCC(N)=O)cc2)cc1,7.548400000000006,0.7821291998590602,1.773952447233773,310.397,2.1132,0.0,8.743794874322447,-10.3931,-6.0905,4.3025,-0.538,xtb_success,0.9409989255167123,0.77,0.8896992478616985,8.743794874322447,9.099674573467126,37,3,-34,physically_promoted
52,10,NC(=O)CCCc1ccc(CCCc2ccc(CC(N)=O)cc2)cc1,7.586800000000007,0.6976456516867432,1.9247090909978797,338.451,2.6977,0.0,8.743151916743592,-10.3492,-6.1014,4.2478,-0.535,xtb_success,0.9317175156827913,0.775,0.8847022609779538,8.743151916743592,9.097032821134773,38,4,-34,physically_promoted
73,44,Cc1ccc(CCc2ccc(S(=O)(=O)C(C)C)cc2)cc1F,7.568900000000009,0.8309102942074881,1.9224995110329104,320.42900000000003,4.101420000000004,0.0,8.792105196000463,-10.7096,-6.9798,3.7298,-0.648,xtb_success,0.8173597055044022,0.5866666666666667,0.7481517938530815,8.792105196000463,9.091365913541695,7,5,-2,neutral
3,10,COc1cc(-c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,7.557000000000008,0.7733670911887162,1.6068422746004494,334.3680000000001,3.4052000000000024,0.0,8.78299931813432,-10.2405,-6.8039,3.4366,-0.332,xtb_success,0.7367346848686056,0.83,0.764714279408024,8.78299931813432,9.088885029897531,17,6,-11,physically_promoted
52,11,NC(=O)CCc1ccc(CCc2ccc(CC(N)=O)cc2)cc1,7.547200000000005,0.7801442554165988,1.8429740925004603,310.397,1.9174999999999995,0.0,8.734700237574545,-10.298,-6.021,4.2769,-0.544,xtb_success,0.9367309280188032,0.76,0.8837116496131622,8.734700237574545,9.08818489741981,43,7,-36,physically_promoted
63,12,COCCc1ccc(CC[C@](C)(O)Cc2ccc(C)cc2)cc1,7.57820000000001,0.7946285041818818,2.4624776367926007,312.453,4.110220000000004,0.0,8.717939683416553,-10.3324,-5.9091,4.4233,-0.502,xtb_success,0.9592794384961294,0.8300000000000001,0.9204956069472905,8.717939683416553,9.08613792619547,63,8,-55,physically_promoted
14,2,COCCN(C)C(=O)c1cc(C(=O)N2CCC(C)CC2)ccc1F,7.557200000000008,0.8296337879548096,2.1207181186753328,336.40700000000004,2.4162,0.0,8.75994508210988,-10.761,-6.9876,3.7735,-0.53,xtb_success,0.8285834017246573,0.7833333333333333,0.81500838120726,8.75994508210988,9.085948434592783,27,9,-18,physically_promoted
3,15,COc1cc(OC)c(OC)c(-c2cc(OC)c(OC)c(OC)c2)c1,7.59120000000001,0.7733670911887162,1.9649174193746344,334.36800000000005,3.4052000000000024,0.0,8.781391803656906,-10.1232,-6.6963,3.4269,-0.329,xtb_success,0.7339381991542135,0.8225,0.7605067394079494,8.781391803656906,9.085594499420086,19,10,-9,physically_promoted
64,14,CC(C)(C)c1ccc(Cc2cc(CCCC(N)=O)ccn2)cc1,7.577500000000008,0.8824987477291736,2.124930878743063,310.4409999999999,3.7779000000000016,0.0,8.788147363119538,-9.984,-6.6073,3.3767,-0.529,xtb_success,0.7193639492302826,0.785,0.7390547644611978,8.788147363119538,9.083769268904017,12,11,-1,neutral
99,4,COCCc1ccc(Cc2ccc(C(C)(C)C)cc2C#CCO)cc1,7.567200000000009,0.832860706155543,2.3511074999129065,336.4750000000001,4.107600000000003,0.0,8.74851960308649,-10.2667,-6.4669,3.7998,-0.512,xtb_success,0.8352200925259432,0.8133333333333334,0.8286540647681602,8.74851960308649,9.079981228993754,33,12,-21,physically_promoted
3,6,COc1cc(OC)c(OC)c(-c2cc(C)c(OC)cc2OC)c1,7.561200000000009,0.8123785740185984,2.0148738389078997,318.369,3.705020000000003,0.0,8.765370012422554,-9.9151,-6.4264,3.4887,-0.339,xtb_success,0.7516357395746338,0.8475,0.7803950177022436,8.765370012422554,9.077528019503452,23,13,-10,physically_promoted
73,45,Cc1ccc(Cc2ccc(CS(=O)(=O)C(C)C)cc2)cc1F,7.539900000000008,0.8327262641961382,2.041731049494448,320.429,4.048120000000004,0.0,8.752090027148633,-10.6141,-6.4863,4.1277,-0.646,xtb_success,0.9092698071950243,0.59,0.8134888650365169,8.752090027148633,9.077485573163239,32,14,-18,physically_promoted
